nick;time_caching;caches_owned;premium_mem;my_caches_found;lab_caches;ftf;ftf_count;travelbugs;security_cam
x;5 - 10 rokov;21 - 50 keäiek;çno;Nie;çno;çno;101 a viac;çno;çno
x;Do 2 rokov;Menej ako 5 keäiek;Nie;Nie;Nie;Nie;0 - 5;Nie;çno
uif;Do 2 rokov;Menej ako 5 keäiek;çno;Nie;çno;Nie;0 - 5;Nie;Nie
x;2 - 5 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;nov.20;çno;çno
Mr.Karlos;5 - 10 rokov;Menej ako 5 keäiek;çno;çno;çno;Nie;6.okt;çno;çno
x;5 - 10 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;101 a viac;çno;çno
Bazonka;Viac ako 10 rokov;201 - 500 keäiek;çno;Nie;çno;çno;101 a viac;Nie;çno
x;2 - 5 rokov;21 - 50 keäiek;çno;çno;çno;çno;21 - 50;çno;çno
Mark0;Viac ako 10 rokov;51 - 100 keäiek;çno;Nie;çno;Nie;101 a viac;Nie;çno
kovbojk‡‹i;5 - 10 rokov;5 - 20 keäiek;çno;çno;çno;Nie;21 - 50;Nie;Nie
x;Viac ako 10 rokov;Menej ako 5 keäiek;çno;Nie;çno;Nie;0 - 5;çno;çno
dabk;Viac ako 10 rokov;5 - 20 keäiek;çno;çno;çno;Nie;6.okt;Nie;çno
prognostik;5 - 10 rokov;5 - 20 keäiek;çno;Nie;çno;Nie;0 - 5;çno;çno
horacius;Viac ako 10 rokov;5 - 20 keäiek;çno;Nie;çno;çno;0 - 5;çno;çno
Gozly;Viac ako 10 rokov;Menej ako 5 keäiek;çno;Nie;çno;Nie;6.okt;çno;Nie
broveska;2 - 5 rokov;Menej ako 5 keäiek;çno;Nie;çno;çno;6.okt;çno;Nie
daniela003;Viac ako 10 rokov;Menej ako 5 keäiek;çno;çno;çno;Nie;0 - 5;çno;çno
x;Do 2 rokov;Menej ako 5 keäiek;çno;Nie;Nie;Nie;0 - 5;Nie;Nie
