nick;time_caching;caches_owned;premium_mem;my_caches_found;lab_caches;ftf;ftf_count;travelbugs;security_cam
traja_musketieri;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Nie;Áno;Áno;21 - 50;Áno;Áno
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Nie;Nie
;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;21 - 50;Nie;Áno
RobiRudy;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;0 - 5;Áno;Áno
MrPeter23;2 - 5 rokov;5 - 20 kešiek;Áno;Nie;Áno;Nie;0 - 5;Áno;Nie
;5 - 10 rokov;21 - 50 kešiek;Áno;Nie;Áno;Áno;101 a viac;Áno;Áno
;Do 2 rokov;Menej ako 5 kešiek;Nie;Nie;Nie;Nie;0 - 5;Nie;Áno
uif;Do 2 rokov;Menej ako 5 kešiek;Áno;Nie;Áno;Nie;0 - 5;Nie;Nie
;2 - 5 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;11 - 20;Áno;Áno
Mr.Karlos;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;6 - 10;Áno;Áno
;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;101 a viac;Áno;Áno
Bazonka;Viac ako 10 rokov;201 - 500 kešiek;Áno;Nie;Áno;Áno;101 a viac;Nie;Áno
;2 - 5 rokov;21 - 50 kešiek;Áno;Áno;Áno;Áno;21 - 50;Áno;Áno
Mark0;Viac ako 10 rokov;51 - 100 kešiek;Áno;Nie;Áno;Nie;101 a viac;Nie;Áno
kovbojkáči;5 - 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Nie;21 - 50;Nie;Nie
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Nie;Áno;Nie;0 - 5;Áno;Áno
dabk;Viac ako 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Nie;6 - 10;Nie;Áno
prognostik;5 - 10 rokov;5 - 20 kešiek;Áno;Nie;Áno;Nie;0 - 5;Áno;Áno
horacius;Viac ako 10 rokov;5 - 20 kešiek;Áno;Nie;Áno;Áno;0 - 5;Áno;Áno
Gozly;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Nie;Áno;Nie;6 - 10;Áno;Nie
broveska;2 - 5 rokov;Menej ako 5 kešiek;Áno;Nie;Áno;Áno;6 - 10;Áno;Nie
daniela003;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
;Do 2 rokov;Menej ako 5 kešiek;Áno;Nie;Nie;Nie;0 - 5;Nie;Nie
